=== 316 室外 EEV + 化霜（外机1）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   BoardAddressSet=1
环温 = 5.0C   翅片1 = 11.0C
**EEVCtrlNum[804] = 99**  <- 本机实际控制几路电磁头；第 99 路之后是未用通道

  ⚠ 室外 EEV 在制热时**应该是有开度的**（按过热度控制）；
     化霜一开始必须归 0 —— 那就是 #2 的判据。

   t | St Tmd | Comp Four Fan | DefC0 | EEV1..4 目标/当前/跑 | CanDef DSig | f1410 Gap0 DefRT | 环温 翅片1 | 动作
     12 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  490     0 |   5.0  11.0 |
     13 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  490     0 |   5.0  11.0 |
     13 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  491     0 |   5.0  11.0 |
     14 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  492     0 |   5.0  11.0 |
     15 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  493     0 |   5.0  11.0 |
     16 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  494     0 |   5.0  11.0 |
     17 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 289/289/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  495     0 |   5.0  11.0 |
     18 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  495     0 |   5.0  11.0 |
     18 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  496     0 |   5.0  11.0 |
     19 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  496     0 |   5.0  11.0 |
     19 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  497     0 |   5.0  11.0 |
     20 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  498     0 |   5.0  11.0 |
     21 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  499     0 |   5.0  11.0 |
     22 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 290/290/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  500     0 |   5.0  11.0 |
     23 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  500     0 |   5.0  11.0 |
     23 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  501     0 |   5.0  11.0 |
     24 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  502     0 |   5.0  11.0 |
     25 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  503     0 |   5.0  11.0 |
     26 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  504     0 |   5.0  11.0 |
     27 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 291/291/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  505     0 |   5.0  11.0 |
     28 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  505     0 |   5.0  11.0 |
     28 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  506     0 |   5.0  11.0 |
     29 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  507     0 |   5.0  11.0 |
     30 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  508     0 |   5.0  11.0 |
     31 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  509     0 |   5.0  11.0 |
     32 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  510     0 |   5.0  11.0 |
     33 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 292/292/1 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  510     0 |   5.0  11.0 |
     33 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  510     0 |   5.0  11.0 |
     33 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 240/240/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  511     0 |   5.0  11.0 |
     34 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  511     0 |   5.0  11.0 |
     34 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  512     0 |   5.0  11.0 |
     35 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  513     0 |   5.0  11.0 |
     36 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  514     0 |   5.0  11.0 |
     37 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 293/293/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  515     0 |   5.0  11.0 |
     38 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  515     0 |   5.0  11.0 |
     38 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  516     0 |   5.0  11.0 |
     39 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  517     0 |   5.0  11.0 |
     40 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  518     0 |   5.0  11.0 |
     41 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  519     0 |   5.0  11.0 |
     42 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 294/294/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  520     0 |   5.0  11.0 |
     43 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  520     0 |   5.0  11.0 |
     43 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 241/241/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  521     0 |   5.0  11.0 |
     44 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  521     0 |   5.0  11.0 |
     44 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  522     0 |   5.0  11.0 |
     45 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  523     0 |   5.0  11.0 |
     46 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  524     0 |   5.0  11.0 |
     47 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  525     0 |   5.0  11.0 |
     48 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  526     0 |   5.0  11.0 |
     49 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  527     0 |   5.0  11.0 |
     50 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  528     0 |   5.0  11.0 |
     51 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  529     0 |   5.0  11.0 |
     52 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 295/295/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  530     0 |   5.0  11.0 |
     53 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 296/296/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  530     0 |   5.0  11.0 |
     53 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 296/296/0 242/242/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  531     0 |   5.0  11.0 |
     54 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 296/296/0 243/243/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  532     0 |   5.0  11.0 |
