=== 复位前 ===
  316 版本 = [316, 12, 13, 2026, 9, 17]   <- 需要 12,12
  机型=2 风机类型=4 制冷剂=R410A
  AI偏移 AI0=302 AI1=825   高压1=2690(47.0C) 高压2=2690(47.0C)  -> 冷凝=47.0C
  VfdOn=1 VfdSpeed=50.0Hz  Comp=1,1  NoCompSec=0

>>> tgt.reset()（复位并运行）

=== 复位后 10Hz 采样（只记变化）===
   t(s)  冷凝  VfdOn  VfdHz  Comp   NoCmp  ChgSec  Stop0  Load Unld Full  Y02 Y03 Y07
   87.1  47.0      1   50.0  0,0      0      76      0     0    0    0  1   0   0
   88.1  47.0      1   50.0  0,0      0      77      0     0    0    0  1   0   0
   89.1  47.0      1   50.0  0,0      0      78      0     0    0    0  1   0   0
   90.1  47.0      1   50.0  0,0      0      79      0     0    0    0  1   0   0
   91.1  47.0      1   50.0  0,0      0      80      0     0    0    0  1   0   0
   92.1  47.0      1   50.0  0,0      0      81      0     0    0    0  1   0   0
   93.1  47.0      1   50.0  0,0      0      82      0     0    0    0  1   0   0
   94.1  47.0      1   50.0  0,0      0      83      0     0    0    0  1   0   0
   95.1  47.0      1   50.0  0,0      0      84      0     0    0    0  1   0   0
   96.1  47.0      1   50.0  0,0      0      85      0     0    0    0  1   0   0
   97.1  47.0      1   50.0  0,0      0      86      0     0    0    0  1   0   0
   98.1  47.0      1   50.0  0,0      0      87      0     0    0    0  1   0   0
   99.1  47.0      1   50.0  0,0      0      88      0     0    0    0  1   0   0
  100.1  47.0      1   50.0  0,0      0      89      0     0    0    0  1   0   0
  101.1  47.0      1   50.0  0,0      0      90      0     0    0    0  1   0   0
  102.1  47.0      1   50.0  0,0      0      91      0     0    0    0  1   0   0
  103.1  47.0      1   50.0  0,0      0      92      0     0    0    0  1   0   0
  104.1  47.0      1   50.0  0,0      0      93      0     0    0    0  1   0   0
  105.1  47.0      1   50.0  0,0      0      94      0     0    0    0  1   0   0
  106.1  47.0      1   50.0  0,0      0      95      0     0    0    0  1   0   0
  107.1  47.0      1   50.0  0,0      0      96      0     0    0    0  1   0   0
  108.1  47.0      1   50.0  0,0      0      97      0     0    0    0  1   0   0
  109.1  47.0      1   50.0  0,0      0      98      0     0    0    0  1   0   0
  110.1  47.0      1   50.0  0,0      0      99      0     0    0    0  1   0   0
  111.1  47.0      1   50.0  0,0      0     100      0     0    0    0  1   0   0
  112.1  47.0      1   50.0  0,0      0     101      0     0    0    0  1   0   0
  113.1  47.0      1   50.0  0,0      0     102      0     0    0    0  1   0   0
  114.1  47.0      1   50.0  0,0      0     103      0     0    0    0  1   0   0
  115.1  47.0      1   50.0  0,0      0     104      0     0    0    0  1   0   0
  116.1  47.0      1   50.0  0,0      0     105      0     0    0    0  1   0   0
  117.1  47.0      1   50.0  0,0      0     106      0     0    0    0  1   0   0
  118.1  47.0      1   50.0  0,0      0     107      0     0    0    0  1   0   0
  119.1  47.0      1   50.0  0,0      0     108      0     0    0    0  1   0   0
  120.1  47.0      1   50.0  0,0      0     109      0     0    0    0  1   0   0
  121.1  47.0      1   50.0  0,0      0     110      0     0    0    0  1   0   0
  122.0  47.0      1   50.0  0,0      0     111      0     0    0    0  1   0   0
  123.0  47.0      1   50.0  0,0      0     112      0     0    0    0  1   0   0
  124.1  47.0      1   50.0  0,0      0     113      0     0    0    0  1   0   0
  125.1  47.0      1   50.0  0,0      0     114      0     0    0    0  1   0   0
  126.1  47.0      1   50.0  0,0      0     115      0     0    0    0  1   0   0
  127.1  47.0      1   50.0  0,0      0     116      0     0    0    0  1   0   0
  128.1  47.0      1   50.0  0,0      0     117      0     0    0    0  1   0   0
  129.1  47.0      1   50.0  0,0      0     118      0     0    0    0  1   0   0
  130.1  47.0      1   50.0  0,0      0     119      0     0    0    0  1   0   0
  131.1  47.0      1   50.0  0,0      0     120      0     0    0    0  1   0   0
  132.1  47.0      1   50.0  0,0      0     121      0     0    0    0  1   0   0
  133.1  47.0      1   50.0  0,0      0     122      0     0    0    0  1   0   0
  134.1  47.0      1   50.0  0,0      0     123      0     0    0    0  1   0   0
  135.1  47.0      1   50.0  0,0      0     124      0     0    0    0  1   0   0
  136.1  47.0      1   50.0  0,0      0     125      0     0    0    0  1   0   0
  137.1  47.0      1   50.0  0,0      0     126      0     0    0    0  1   0   0
  138.1  47.0      1   50.0  0,0      0     127      0     0    0    0  1   0   0
  139.1  47.0      1   50.0  0,0      0     128      0     0    0    0  1   0   0
  140.1  47.0      1   50.0  0,0      0     129      0     0    0    0  1   0   0
  141.1  47.0      1   50.0  0,0      0     130      0     0    0    0  1   0   0
  142.1  47.0      1   50.0  0,0      0     131      0     0    0    0  1   0   0
  143.1  47.0      1   50.0  0,0      0     132      0     0    0    0  1   0   0
  144.1  47.0      1   50.0  0,0      0     133      0     0    0    0  1   0   0
  145.1  47.0      1   50.0  0,0      0     134      0     0    0    0  1   0   0
  146.1  47.0      1   50.0  0,0      0     135      0     0    0    0  1   0   0
  147.1  47.0      1   50.0  0,0      0     136      0     0    0    0  1   0   0
  148.1  47.0      1   50.0  0,0      0     137      0     0    0    0  1   0   0
  149.1  47.0      1   50.0  0,0      0     138      0     0    0    0  1   0   0
  150.1  47.0      1   50.0  0,0      0     139      0     0    0    0  1   0   0
  151.2  47.0      1   50.0  0,0      0     140      0     0    0    0  1   0   0
  152.2  47.0      1   50.0  0,0      0     141      0     0    0    0  1   0   0
  153.2  47.1      1   50.0  0,0      0     142      0     0    0    0  1   0   0
  154.2  47.0      1   50.0  0,0      0     143      0     0    0    0  1   0   0
  155.1  47.0      1   50.0  0,0      0     144      0     0    0    0  1   0   0
  156.1  47.0      1   50.0  0,0      0     145      0     0    0    0  1   0   0
  157.1  47.0      1   50.0  0,0      0     146      0     0    0    0  1   0   0
  158.1  47.0      1   50.0  0,0      0     147      0     0    0    0  1   0   0
  159.1  47.0      1   50.0  0,0      0     148      0     0    0    0  1   0   0
  160.1  47.0      1   50.0  0,0      0     149      0     0    0    0  1   0   0
  161.1  47.0      1   50.0  0,0      0     150      0     0    0    0  1   0   0
  162.1  47.0      1   50.0  0,0      0     151      0     0    0    0  1   0   0
  163.1  47.0      1   50.0  0,0      0     152      0     0    0    0  1   0   0
  164.1  47.1      1   50.0  0,0      0     153      0     0    0    0  1   0   0
  165.1  47.0      1   50.0  0,0      0     154      0     0    0    0  1   0   0
  166.1  47.0      1   50.0  0,0      0     155      0     0    0    0  1   0   0
  167.1  47.0      1   50.0  0,0      0     156      0     0    0    0  1   0   0
  168.1  47.0      1   50.0  0,0      0     157      0     0    0    0  1   0   0
  169.1  47.1      1   50.0  0,0      0     158      0     0    0    0  1   0   0
  170.1  47.0      1   50.0  0,0      0     159      0     0    0    0  1   0   0
  171.1  47.0      1   50.0  0,0      0     160      0     0    0    0  1   0   0
  172.1  47.0      1   50.0  0,0      0     161      0     0    0    0  1   0   0
  173.1  47.0      1   50.0  0,0      0     162      0     0    0    0  1   0   0
  174.1  47.0      1   50.0  0,0      0     163      0     0    0    0  1   0   0
  175.1  47.0      1   50.0  0,0      0     164      0     0    0    0  1   0   0
  176.1  47.0      1   50.0  0,0      0     165      0     0    0    0  1   0   0
  177.1  47.0      1   50.0  0,0      0     166      0     0    0    0  1   0   0
  178.1  47.0      1   50.0  0,0      0     167      0     0    0    0  1   0   0
  179.1  47.0      1   50.0  0,0      0     168      0     0    0    0  1   0   0
  180.2  47.0      1   50.0  0,0      0     169      0     0    0    0  1   0   0
  181.2  47.0      1   50.0  0,0      0     170      0     0    0    0  1   0   0
  182.2  47.0      1   50.0  0,0      0     171      0     0    0    0  1   0   0
  183.2  47.0      1   50.0  0,0      0     172      0     0    0    0  1   0   0
  184.2  47.0      1   50.0  0,0      0     173      0     0    0    0  1   0   0
  185.2  47.0      1   50.0  0,0      0     174      0     0    0    0  1   0   0
  186.2  47.0      1   50.0  0,0      0     175      0     0    0    0  1   0   0
  187.2  47.0      1   50.0  0,0      0     176      0     0    0    0  1   0   0
  188.2  47.0      1   50.0  0,0      0     177      0     0    0    0  1   0   0
  189.2  47.0      1   10.0  1,0      0       0      0     1    0    1  1   1   0
  190.2  47.0      1   12.0  1,0      0       0      0     1    0    2  1   1   0
  191.2  47.0      1   14.0  1,0      0       1      0     1    0    3  1   1   0
  192.2  47.0      1   16.0  1,0      0       2      0     1    0    4  1   1   0
  193.2  47.0      1   18.0  1,0      0       3      0     1    0    5  1   1   0
  194.2  47.0      1   20.0  1,0      0       4      0     1    0    6  1   1   0
  195.2  47.0      1   22.0  1,0      0       5      0     1    0    7  1   1   0
  196.2  47.0      1   24.0  1,0      0       6      0     1    0    8  1   1   0
  197.2  47.0      1   26.0  1,0      0       7      0     1    0    9  1   1   0
  198.2  47.0      1   28.0  1,0      0       8      0     1    0   10  1   1   0
  199.2  47.0      1   30.0  1,0      0       9      0     1    0   11  1   1   0
  200.2  47.0      1   32.0  1,0      0      10      0     1    0   12  1   1   0
  201.1  47.0      1   32.0  1,0      0      10      0     1    0   13  1   1   0
  201.2  47.0      1   34.0  1,0      0      11      0     1    0   13  1   1   0
  202.1  47.0      1   34.0  1,0      0      12      0     1    0   14  1   1   0
  202.2  47.0      1   36.0  1,0      0      12      0     1    0   14  1   1   0
  203.1  47.0      1   38.0  1,0      0      13      0     1    0   15  1   1   0
  204.1  47.0      1   40.0  1,0      0      14      0     1    0   16  1   1   0
  205.1  47.0      1   40.0  1,0      0      15      0     1    0   17  1   1   0
  205.2  47.0      1   42.0  1,0      0      15      0     1    0   17  1   1   0
  206.2  47.0      1   44.0  1,0      0      16      0     1    0   18  1   1   0
  207.2  47.0      1   46.0  1,0      0      17      0     1    0   19  1   1   0
  208.2  47.0      1   48.0  1,0      0      18      0     1    0   20  1   1   0
  209.2  47.0      1   50.0  1,0      0      19      0     1    0   21  1   1   0
  210.2  47.0      1   50.0  1,0      0      20      0     1    0   22  1   1   0
  211.2  47.0      1   50.0  1,0      0      21      0     1    0   23  1   1   0
  212.2  47.0      1   50.0  1,0      0      22      0     1    0   24  1   1   0
  213.2  47.0      1   50.0  1,0      0      23      0     1    0   25  1   1   0
  214.2  47.0      1   50.0  1,0      0      24      0     1    0   26  1   1   0
  215.2  47.0      1   50.0  1,0      0      25      0     1    0   27  1   1   0
  216.2  47.0      1   50.0  1,0      0      26      0     1    0   28  1   1   0
  217.2  47.0      1   50.0  1,0      0      27      0     1    0   29  1   1   0
  218.2  47.0      1   50.0  1,0      0      28      0     1    0   30  1   1   0
  219.2  47.0      1   50.0  1,1      0      29      0     1    0   30  1   1   0
  220.2  47.0      1   50.0  1,1      0      30      0     1    0   30  1   1   0
  221.2  47.0      1   50.0  1,1      0      31      0     1    0   30  1   1   0
  222.2  47.0      1   50.0  1,1      0      32      0     1    0   30  1   1   0
  223.2  47.0      1   50.0  1,1      0      33      0     1    0   30  1   1   0
  224.2  47.0      1   50.0  1,1      0      34      0     1    0   30  1   1   0
  225.2  47.0      1   50.0  1,1      0      35      0     1    0   30  1   1   0
  226.2  47.0      1   50.0  1,1      0      36      0     1    0   30  1   1   0
  227.2  47.0      1   50.0  1,1      0      37      0     1    0   30  1   1   0
  228.2  47.0      1   50.0  1,1      0      38      0     1    0   30  1   1   0
  229.2  47.0      1   50.0  1,1      0      39      0     1    0   30  1   1   0
  230.2  47.0      1   50.0  1,1      0      40      0     1    0   30  1   1   0
  231.2  47.0      1   50.0  1,1      0      41      0     1    0   30  1   1   0
  232.1  47.0      1   50.0  1,1      0      42      0     1    0   30  1   1   0
  233.1  47.0      1   50.0  1,1      0      43      0     1    0   30  1   1   0
  234.1  47.0      1   50.0  1,1      0      44      0     1    0   30  1   1   0
  235.1  47.0      1   50.0  1,1      0      45      0     1    0   30  1   1   0
  236.1  47.0      1   50.0  1,1      0      46      0     1    0   30  1   1   0
  237.1  47.0      1   50.0  1,1      0      47      0     1    0   30  1   1   0
  238.1  47.0      1   50.0  1,1      0      48      0     1    0   30  1   1   0
  239.1  47.0      1   50.0  1,1      0      49      0     1    0   30  1   1   0
  240.1  47.0      1   50.0  1,1      0      50      0     1    0   30  1   1   0
  241.1  47.0      1   50.0  1,1      0      51      0     1    0   30  1   1   0
  242.1  47.0      1   50.0  1,1      0      52      0     1    0   30  1   1   0
  243.1  47.0      1   50.0  1,1      0      53      0     1    0   30  1   1   0
  244.1  47.0      1   50.0  1,1      0      54      0     1    0   30  1   1   0
  245.1  47.0      1   50.0  1,1      0      55      0     1    0   30  1   1   0
  246.1  47.0      1   50.0  1,1      0      56      0     1    0   30  1   1   0
  247.1  47.0      1   50.0  1,1      0      57      0     1    0   30  1   1   0
  248.1  47.0      1   50.0  1,1      0      58      0     1    0   30  1   1   0
  249.2  47.0      1   50.0  1,1      0      59      0     1    0   30  1   1   0
  250.2  47.0      1   50.0  1,1      0      60      0     1    0   30  1   1   0
  251.2  47.0      1   50.0  1,1      0      61      0     1    0   30  1   1   0
  252.2  47.0      1   50.0  1,1      0      62      0     1    0   30  1   1   0
  253.2  47.0      1   50.0  1,1      0      63      0     1    0   30  1   1   0
  254.2  47.0      1   50.0  1,1      0      64      0     1    0   30  1   1   0
  255.2  47.0      1   50.0  1,1      0      65      0     1    0   30  1   1   0
  256.2  47.0      1   50.0  1,1      0      66      0     1    0   30  1   1   0
  257.2  47.0      1   50.0  1,1      0      67      0     1    0   30  1   1   0
  258.2  47.0      1   50.0  1,1      0      68      0     1    0   30  1   1   0
  259.2  47.0      1   50.0  1,1      0      69      0     1    0   30  1   1   0
  260.2  47.0      1   50.0  1,1      0      70      0     1    0   30  1   1   0
  261.2  47.1      1   50.0  1,1      0      71      0     1    0   30  1   1   0
  262.2  47.0      1   50.0  1,1      0      72      0     1    0   30  1   1   0
  263.2  47.0      1   50.0  1,1      0      73      0     1    0   30  1   1   0
  264.2  47.0      1   50.0  1,1      0      74      0     1    0   30  1   1   0
  265.2  47.0      1   50.0  1,1      0      75      0     1    0   30  1   1   0
  266.2  47.0      1   50.0  1,1      0      76      0     1    0   30  1   1   0
  267.2  47.0      1   50.0  1,1      0      77      0     1    0   30  1   1   0
  268.2  47.0      1   50.0  1,1      0      78      0     1    0   30  1   1   0
  269.2  47.0      1   50.0  1,1      0      79      0     1    0   30  1   1   0
  270.2  47.0      1   50.0  1,1      0      80      0     1    0   30  1   1   0
  271.2  47.0      1   50.0  1,1      0      81      0     1    0   30  1   1   0
  272.2  47.0      1   50.0  1,1      0      82      0     1    0   30  1   1   0
  273.2  47.0      1   50.0  1,1      0      83      0     1    0   30  1   1   0
  274.1  47.0      1   50.0  1,1      0      84      0     1    0   30  1   1   0
  275.1  47.0      1   50.0  1,1      0      85      0     1    0   30  1   1   0
  276.1  47.0      1   50.0  1,1      0      86      0     1    0   30  1   1   0
  277.1  47.0      1   50.0  1,1      0      87      0     1    0   30  1   1   0
  278.1  47.0      1   50.0  1,1      0      88      0     1    0   30  1   1   0
  279.1  47.0      1   50.0  1,1      0      89      0     1    0   30  1   1   0
  280.2  47.0      1   50.0  1,1      0      90      0     1    0   30  1   1   0
  281.2  47.0      1   50.0  1,1      0      91      0     1    0   30  1   1   0
  282.2  47.0      1   50.0  1,1      0      92      0     1    0   30  1   1   0
  283.2  47.0      1   50.0  1,1      0      93      0     1    0   30  1   1   0
  284.2  47.0      1   50.0  1,1      0      94      0     1    0   30  1   1   0
  285.2  47.0      1   50.0  1,1      0      95      0     1    0   30  1   1   0
  286.2  47.0      1   50.0  1,1      0      96      0     1    0   30  1   1   0
  287.2  47.0      1   50.0  1,1      0      97      0     1    0   30  1   1   0
  288.2  47.0      1   50.0  1,1      0      98      0     1    0   30  1   1   0
  289.2  47.0      1   50.0  1,1      0      99      0     1    0   30  1   1   0
  290.2  47.0      1   50.0  1,1      0     100      0     1    0   30  1   1   0
  291.2  47.0      1   50.0  1,1      0     101      0     1    0   30  1   1   0
  292.2  47.0      1   50.0  1,1      0     102      0     1    0   30  1   1   0
  293.2  47.0      1   50.0  1,1      0     103      0     1    0   30  1   1   0
  294.2  47.0      1   50.0  1,1      0     104      0     1    0   30  1   1   0
  295.2  47.0      1   50.0  1,1      0     105      0     1    0   30  1   1   0
  296.2  47.0      1   50.0  1,1      0     106      0     1    0   30  1   1   0
  297.2  47.0      1   50.0  1,1      0     107      0     1    0   30  1   1   0
  298.2  47.0      1   50.0  1,1      0     108      0     1    0   30  1   1   0
  299.2  47.0      1   50.0  1,1      0     109      0     1    0   30  1   1   0

>>> 复位后首次看到风机在转：t=10.1s  VfdSpeed=50.0Hz
    预期（V12.12）：冷凝>45 时应为 50.0Hz（满频）；V12.11 实测是 20.0Hz
    判定：[通过] 符合规格书
结束 state=RUNNING
