=== 330 室内 EEV 动态记录（规格书 3.9 验算）===
工作模式 = 制冷   机型[165]=0 风机[166]=1
参数: Y=5.0C  YD=2.0C  KP=5  TP=5s  TI=100s  TD=0s  起始开度=200  每周期最大=20  化霜开度=350  PID使能=1

  ⚠ 过热度由 316 上报，330 本地只有 E(K)=过热度−Y
  EEV1..4 显示 目标/当前；Δ 只在变化时打；累计开/关按 EEV1 统计

   t | WMd | 外机1 压机 | EEV1 E0 E1 E2 算式 分支后 | EEV1..4 目标/当前 | 关模式 关目标 | 周期 采样 | 累计开 累计关 | 备注
     37 | 制冷   | 停/停       |     0     0     0     0     0 | 45/85 0/0 90/116 81/97 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/85 0/0 90/116 81/88 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/77 0/0 90/116 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/69 0/0 90/116 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/60 0/0 90/116 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/52 0/0 90/116 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/45 0/0 90/116 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 45/45 0/0 90/113 81/87 | 紧急/紧急/紧急/紧急 45/0/90/81 |     0    0 |    13   420 | 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/105 61/87 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | ** EEV1 Δ=-20 ** 死区
     38 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/96 61/87 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/88 61/87 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/80 61/87 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/71 61/86 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/71 61/78 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/71 61/70 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 25/45 0/0 70/71 61/61 | 紧急/紧急/紧急/紧急 25/0/70/61 |     0    0 |    13   440 | 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 5/45 0/0 50/71 41/56 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | ** EEV1 Δ=-20 ** 死区
     39 | 制冷   | 停/停       |     0     0     0     0     0 | 5/45 0/0 50/71 41/47 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/39 0/0 50/71 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/31 0/0 50/71 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/22 0/0 50/71 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/14 0/0 50/71 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/5 0/0 50/71 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 5/5 0/0 50/70 41/44 | 紧急/紧急/紧急/紧急 5/0/50/41 |     0    0 |    13   460 | 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/63 21/44 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | ** EEV1 Δ=-5 ** 死区
     40 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/55 21/44 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/46 21/44 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/38 21/44 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/30 21/44 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/30 21/40 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/30 21/34 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/30 21/28 | 紧急/紧急/紧急/紧急 0/0/30/21 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 30/30 21/23 | 紧急/紧急/紧急/紧急 0/0/10/1 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/5 0/0 10/30 1/14 | 紧急/紧急/紧急/紧急 0/0/10/1 |     0    0 |    13   465 | 死区
     41 | 制冷   | 停/停       |     0     0     0     0     0 | 0/2 0/0 10/30 1/8 | 紧急/紧急/紧急/紧急 0/0/10/1 |     0    0 |    13   465 | 死区
     42 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 10/30 1/8 | 紧急/紧急/紧急/紧急 0/0/10/1 |     0    0 |    13   465 | 死区
     42 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 10/25 1/8 | 紧急/紧急/紧急/紧急 0/0/10/1 |     0    0 |    13   465 | 死区
     42 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/19 0/8 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     42 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/13 0/8 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     43 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/7 0/8 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     43 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/2 0/8 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     43 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/0 0/6 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     43 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/0 0/2 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
     43 | 制冷   | 停/停       |     0     0     0     0     0 | 0/0 0/0 0/0 0/0 | 紧急/紧急/紧急/紧急 0/0/0/0 |     0    0 |    13   465 | 死区
结束 state=RUNNING   累计 EEV1 开13 步 / 关465 步
