=== 330 化霜/辅热 探针 ===
版本 Parameter[0..5] = [0, 1, 0, 0, 0, 0]

--- 加热配置 ---
  再热是否启用[127]=1  制热方式[128]=1 (热泵制热)  共用[129]=1
  再热/辅热方式[332]=1 (AO)  预热输出方式[333]=4
  化霜阀开度 [21](派生)=200   [372](HMI真配)=350

--- 化霜排他性 ---
  **PSC316DefrostOwner = 2**   (0=无人在化霜；单字节 -> 天然唯一)
  外机1: CompStatus=['制热', '制热']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机2: CompStatus=['停', '停']  CanDefrost=[1, 0]  DefrostSignal=[1, 1]  <== owner
  外机3: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机4: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机5: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机6: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]

--- 辅热 ---
  output[0..2] = [0, 256, 1]  (Heat1Y00/Heat2Y01/Heat3Y02)
  IndoorHeatAnalogDemand = 0   IndoorHeatAnalogMode = 1 (AO)
  ReheatPidStateDisp[942] = 1

=== 10Hz 采样（只记变化）===
  t | Owner | 外机1 CS/CD/DS | 外机2 CS/CD/DS | 外机3 CS/CD/DS | HeatY00/01/02 | AODemand Mode | PIDstate
    68      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    71      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    74      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    77      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    80      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    83      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    86      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    89      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    93      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    96      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    99      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   102      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   105      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   108      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   111      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   114      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   117      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   120      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   123      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   126      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   129      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   132      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   135      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   138      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   141      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   144      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   147      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   150      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   154      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   157      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   160      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   163      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   166      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   169      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   172      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   175      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   178      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   181      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   184      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   187      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   190      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   193      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   196      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   199      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   202      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   204      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   205      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   208      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   211      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   214      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   217      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   220      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   223      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   226      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
   228      0  [3, 3]/[0, 0]/[0, 0]  [3, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  2
