已连接 state=RUNNING

=== 10Hz 采样（外机1）===
  t(s)  Fan1 Fan2 Stg IIHi Dead TwoF LastPh  ChgSec    Cmd0   Cmd1   Run0  Run1   Stop0  Stop1
  68.52    0    1   4    1    0    0  0, 1     81  49827  49601      0    127     82      0
  69.50    0    1   4    1    0    0  0, 1     82  49827  49602      0    128     83      0
  70.49    0    1   4    1    0    0  0, 1     83  49827  49603      0    129     84      0
  71.46    0    1   4    1    0    0  0, 1     84  49827  49604      0    130     85      0
  72.55    0    1   4    1    0    0  0, 1     85  49827  49605      0    131     86      0
  73.53    0    1   4    1    0    0  0, 1     86  49827  49606      0    132     87      0
  74.51    0    1   4    1    0    0  0, 1     87  49827  49607      0    133     88      0
  75.49    0    1   4    1    0    0  0, 1     88  49827  49608      0    134     89      0
  76.47    0    1   4    1    0    0  0, 1     89  49827  49609      0    135     90      0
  77.55    0    1   4    1    0    0  0, 1     90  49827  49610      0    136     91      0
  78.53    0    1   4    1    0    0  0, 1     91  49827  49611      0    137     92      0
  79.51    0    1   4    1    0    0  0, 1     92  49827  49612      0    138     93      0
  80.49    0    1   4    1    0    0  0, 1     93  49827  49613      0    139     94      0
  81.47    0    1   4    1    0    0  0, 1     94  49827  49614      0    140     95      0
  82.55    0    1   4    1    0    0  0, 1     95  49827  49615      0    141     96      0
  83.53    0    1   4    1    0    0  0, 1     96  49827  49616      0    142     97      0
  84.52    0    1   4    1    0    0  0, 1     97  49827  49617      0    143     98      0
  85.50    0    1   4    1    0    0  0, 1     98  49827  49618      0    144     99      0
  86.47    0    1   4    1    0    0  0, 1     99  49827  49619      0    145    100      0
  87.56    0    1   4    1    0    0  0, 1    100  49827  49620      0    146    101      0
  88.54    0    1   4    1    0    0  0, 1    101  49827  49621      0    147    102      0
  89.52    0    1   4    1    0    0  0, 1    102  49827  49622      0    148    103      0
  90.50    0    1   4    1    0    0  0, 1    103  49827  49623      0    149    104      0
  91.48    0    1   4    1    0    0  0, 1    104  49827  49624      0    150    105      0
  92.57    0    1   4    1    0    0  0, 1    105  49827  49625      0    151    106      0
  93.55    0    1   4    1    0    0  0, 1    106  49827  49626      0    152    107      0
  94.53    0    1   4    1    0    0  0, 1    107  49827  49627      0    153    108      0
  95.51    0    1   4    1    0    0  0, 1    108  49827  49628      0    154    109      0
  96.49    0    1   4    1    0    0  0, 1    109  49827  49629      0    155    110      0
  97.47    0    1   4    1    0    0  0, 1    110  49827  49630      0    156    111      0
  98.56    0    1   4    1    0    0  0, 1    111  49827  49631      0    157    112      0
  99.54    0    1   4    1    0    0  0, 1    112  49827  49632      0    158    113      0
  100.52    0    1   4    1    0    0  0, 1    113  49827  49633      0    159    114      0
  101.50    0    1   4    1    0    0  0, 1    114  49827  49634      0    160    115      0
  102.48    0    1   4    1    0    0  0, 1    115  49827  49635      0    161    116      0
  103.57    0    1   4    1    0    0  0, 1    116  49827  49636      0    162    117      0
  104.55    0    1   4    1    0    0  0, 1    117  49827  49637      0    163    118      0
  105.54    0    1   4    1    0    0  0, 1    118  49827  49638      0    164    119      0
  106.52    0    1   4    1    0    0  0, 1    119  49827  49639      0    165    120      0
  107.50    0    1   4    1    0    0  0, 1    120  49827  49640      0    166    121      0
  108.58    0    1   4    1    0    0  0, 1    121  49827  49641      0    167    122      0
  109.56    0    1   4    1    0    0  0, 1    122  49827  49642      0    168    123      0
  110.54    0    1   4    1    0    0  0, 1    123  49827  49643      0    169    124      0
  111.52    0    1   4    1    0    0  0, 1    124  49827  49644      0    170    125      0
  112.50    0    1   4    1    0    0  0, 1    125  49827  49645      0    171    126      0
  113.59    0    1   4    1    0    0  0, 1    126  49827  49646      0    172    127      0
  114.57    0    1   4    1    0    0  0, 1    127  49827  49647      0    173    128      0
  115.55    0    1   4    1    0    0  0, 1    128  49827  49648      0    174    129      0
  116.53    0    1   4    1    0    0  0, 1    129  49827  49649      0    175    130      0
  117.51    0    1   4    1    0    0  0, 1    130  49827  49650      0    176    131      0
  118.50    0    1   4    1    0    0  0, 1    131  49827  49651      0    177    132      0
  119.58    0    1   4    1    0    0  0, 1    132  49827  49652      0    178    133      0
  120.56    0    1   4    1    0    0  0, 1    133  49827  49653      0    179    134      0
  121.54    0    1   4    1    0    0  0, 1    134  49827  49654      0    180    135      0
  122.52    0    1   4    1    0    0  0, 1    135  49827  49655      0    181    136      0
  123.50    0    1   4    1    0    0  0, 1    136  49827  49656      0    182    137      0
  124.60    0    1   4    1    0    0  0, 1    137  49827  49657      0    183    138      0
  125.58    0    1   4    1    0    0  0, 1    138  49827  49658      0    184    139      0
  126.57    0    1   4    1    0    0  0, 1    139  49827  49659      0    185    140      0
  127.56    0    1   4    1    0    0  0, 1    140  49827  49660      0    186    141      0
  128.54    0    1   4    1    0    0  0, 1    141  49827  49661      0    187    142      0
  129.53    0    1   4    1    0    0  0, 1    142  49827  49662      0    188    143      0
  130.51    0    1   4    1    0    0  0, 1    143  49827  49663      0    189    144      0
  131.59    0    1   4    1    0    0  0, 1    144  49827  49664      0    190    145      0
  132.57    0    1   4    1    0    0  0, 1    145  49827  49665      0    191    146      0
  133.55    0    1   4    1    0    0  0, 1    146  49827  49666      0    192    147      0
  134.53    0    1   4    1    0    0  0, 1    147  49827  49667      0    193    148      0
  135.51    0    1   4    1    0    0  0, 1    148  49827  49668      0    194    149      0
  136.61    0    1   4    1    0    0  0, 1    149  49827  49669      0    195    150      0
  137.59    0    1   4    1    0    0  0, 1    150  49827  49670      0    196    151      0
  138.57    0    1   4    1    0    0  0, 1    151  49827  49671      0    197    152      0
  139.56    0    1   4    1    0    0  0, 1    152  49827  49672      0    198    153      0
  140.54    0    1   4    1    0    0  0, 1    153  49827  49673      0    199    154      0
  141.52    0    1   4    1    0    0  0, 1    154  49827  49674      0    200    155      0
  142.50    0    1   4    1    0    0  0, 1    155  49827  49675      0    201    156      0
  143.60    0    1   4    1    0    0  0, 1    156  49827  49676      0    202    157      0
  144.58    0    1   4    1    0    0  0, 1    157  49827  49677      0    203    158      0
  145.56    0    1   4    1    0    0  0, 1    158  49827  49678      0    204    159      0
  146.54    0    1   4    1    0    0  0, 1    159  49827  49679      0    205    160      0
  147.53    0    1   4    1    0    0  0, 1    160  49827  49680      0    206    161      0
  148.51    0    1   4    1    0    0  0, 1    161  49827  49681      0    207    162      0
  149.60    0    1   4    1    0    0  0, 1    162  49827  49682      0    208    163      0
  150.58    0    1   4    1    0    0  0, 1    163  49827  49683      0    209    164      0
  151.56    0    1   4    1    0    0  0, 1    164  49827  49684      0    210    165      0
  152.53    0    1   4    1    0    0  0, 1    165  49827  49685      0    211    166      0
  153.52    0    1   4    1    0    0  0, 1    166  49827  49686      0    212    167      0
  154.61    0    1   4    1    0    0  0, 1    167  49827  49687      0    213    168      0
  155.59    0    1   4    1    0    0  0, 1    168  49827  49688      0    214    169      0
  156.57    0    1   4    1    0    0  0, 1    169  49827  49689      0    215    170      0
  157.55    0    1   4    1    0    0  0, 1    170  49827  49690      0    216    171      0
  158.53    0    1   4    1    0    0  0, 1    171  49827  49691      0    217    172      0
  159.62    0    1   4    1    0    0  0, 1    172  49827  49692      0    218    173      0
  160.60    0    1   4    1    0    0  0, 1    173  49827  49693      0    219    174      0
  161.58    0    1   4    1    0    0  0, 1    174  49827  49694      0    220    175      0
  162.56    0    1   4    1    0    0  0, 1    175  49827  49695      0    221    176      0
  163.54    0    1   4    1    0    0  0, 1    176  49827  49696      0    222    177      0
  164.62    0    1   4    1    0    0  0, 1    177  49827  49697      0    223    178      0
  165.60    0    1   4    1    0    0  0, 1    178  49827  49698      0    224    179      0
  166.58    0    1   4    1    0    0  0, 1    179  49827  49699      0    225    180      0
  167.56    0    1   4    1    0    0  0, 1    180  49827  49700      0    226    181      0
  168.54    0    1   4    1    0    0  0, 1    181  49827  49701      0    227    182      0
  169.52    0    1   4    1    0    0  0, 1    182  49827  49702      0    228    183      0
  170.61    0    1   4    1    0    0  0, 1    183  49827  49703      0    229    184      0
  171.59    0    1   4    1    0    0  0, 1    184  49827  49704      0    230    185      0
  172.56    0    1   4    1    0    0  0, 1    185  49827  49705      0    231    186      0
  173.54    0    1   4    1    0    0  0, 1    186  49827  49706      0    232    187      0
  174.63    0    1   4    1    0    0  0, 1    187  49827  49707      0    233    188      0
  175.61    0    1   4    1    0    0  0, 1    188  49827  49708      0    234    189      0
  176.59    0    1   4    1    0    0  0, 1    189  49827  49709      0    235    190      0
  177.57    0    1   4    1    0    0  0, 1    190  49827  49710      0    236    191      0
  178.55    0    1   4    1    0    0  0, 1    191  49827  49711      0    237    192      0
  179.53    0    1   4    1    0    0  0, 1    192  49827  49712      0    238    193      0
  180.62    0    1   4    1    0    0  0, 1    193  49827  49713      0    239    194      0
