=== 定时化霜可达性探针（拔探头时盯）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   Comp1Enable[152]=0
环温 = 5.0C   翅片1 = -21.9C
化霜参数: [182]定时化霜温度设定=9.0  [183]定时间隔=29分  [184]定时化霜时间=3分  [185]压机最小运行=9分

  故障字(605~620)   TMode Y05 CRT Gap0 | St Elig End Strt Comp Four Fan | NEnv TEnv FinLow0 | 环温 翅片1 | 动作
      25  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [1, 1] |    0   15      0 |   5.0 999.9 |
      25  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   16      0 |   5.0 999.9 |
      26  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   17      0 |   5.0 999.9 |
      27  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   18      0 |   5.0 999.9 |
      28  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [1, 1] |    0   18      0 |   5.0 999.9 |
      28  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   18      0 |   5.0 999.9 |
      28  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   19      0 |   5.0 999.9 |
      29  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [1, 1] |    0   19      0 |   5.0 999.9 |
      29  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   19      0 |   5.0 999.9 |
      29  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   20      0 |   5.0 999.9 |
      30  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   21      0 |   5.0 999.9 |
      31  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   22      0 |   5.0 999.9 |
      32  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   23      0 |   5.0 999.9 |
      33  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   24      0 |   5.0 999.9 |
      34  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   25      0 |   5.0 999.9 |
      35  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   26      0 |   5.0 999.9 |
      36  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   27      0 |   5.0 999.9 |
      37  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   28      0 |   5.0 999.9 |
      38  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   29      0 |   5.0 999.9 |
      39  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   30      0 |   5.0 999.9 |
      40  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   31      0 |   5.0 999.9 |
      41  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   32      0 |   5.0 999.9 |
      42  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   33      0 |   5.0 999.9 |
      43  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   34      0 |   5.0 999.9 |
      44  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   35      0 |   5.0 999.9 |
      45  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   36      0 |   5.0 999.9 |
      46  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   37      0 |   5.0 999.9 |
      47  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   38      0 |   5.0 999.9 |
      48  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   39      0 |   5.0 999.9 |
      49  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   40      0 |   5.0 999.9 |
      50  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   41      0 |   5.0 999.9 |
      51  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   42      0 |   5.0 999.9 |
      52  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   43      0 |   5.0 999.9 |
      53  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   44      0 |   5.0 999.9 |
      54  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   45      0 |   5.0 999.9 |
      55  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   46      0 |   5.0 999.9 |
      56  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   47      0 |   5.0 999.9 |
      57  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   48      0 |   5.0 999.9 |
      58  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   49      0 |   5.0 999.9 |
      59  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   50      0 |   5.0 999.9 |
      60  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   51      0 |   5.0 999.9 |
  [  60.4] >>> 故障字变化 613:1->0
      60  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    0      0 |   5.0 -22.0 |
      61  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    1    0      1 |   5.0 -22.0 |
      61  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    1    0      1 |   5.0 -21.9 |
      62  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    2    0      2 |   5.0 -21.9 |
      62  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    2    0      2 |   5.0 -22.0 |
      63  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    2    0      2 |   5.0 -21.9 |
      63  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    3    0      3 |   5.0 -21.9 |
      64  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    4    0      4 |   5.0 -21.9 |
      65  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    5    0      5 |   5.0 -21.9 |
      66  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    6    0      6 |   5.0 -21.9 |
      67  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    7    0      7 |   5.0 -21.9 |
      68  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    7    0      7 |   5.0 -22.0 |
      68  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    8    0      8 |   5.0 -22.0 |
      68  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    8    0      8 |   5.0 -21.9 |
      69  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    9    0      9 |   5.0 -21.9 |
      70  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |   10    0     10 |   5.0 -21.9 |
      71  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |   11    0     11 |   5.0 -21.9 |
      72  -                    0   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |   12    0     12 |   5.0 -21.9 |
  [  73.2] >>> 故障字变化 617:0->1
      73  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    0     13 |   5.0 -21.9 |
      74  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    1     14 |   5.0 -21.9 |
      75  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    2     15 |   5.0 -21.9 |
      76  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    3     16 |   5.0 -21.9 |
      77  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    4     17 |   5.0 -21.9 |
      78  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    5     18 |   5.0 -21.9 |
      79  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    6     19 |   5.0 -21.9 |
      80  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    7     20 |   5.0 -21.9 |
      81  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    8     21 |   5.0 -21.9 |
      82  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    9     22 |   5.0 -21.9 |
      83  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   10     23 |   5.0 -21.9 |
      84  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   11     24 |   5.0 -21.9 |
      85  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   12     25 |   5.0 -21.9 |
      86  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   13     26 |   5.0 -21.9 |
      87  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   14     27 |   5.0 -21.9 |
      88  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   15     28 |   5.0 -21.9 |
      89  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   16     29 |   5.0 -21.9 |
      90  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   17     30 |   5.0 -21.9 |
      91  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   18     30 |   5.0 -21.9 |
      92  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   19     30 |   5.0 -21.9 |
      93  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   20     30 |   5.0 -21.9 |
      94  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   21     30 |   5.0 -21.9 |
      95  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   22     30 |   5.0 -21.9 |
      96  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   23     30 |   5.0 -21.9 |
      97  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   24     30 |   5.0 -21.9 |
      98  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   25     30 |   5.0 -21.9 |
      99  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   26     30 |   5.0 -21.9 |
     100  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   27     30 |   5.0 -21.9 |
     101  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   28     30 |   5.0 -21.9 |
     102  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   29     30 |   5.0 -21.9 |
     103  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   30     30 |   5.0 -21.9 |
     104  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   31     30 |   5.0 -21.9 |
     105  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   32     30 |   5.0 -21.9 |
     106  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   33     30 |   5.0 -21.9 |
     107  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   34     30 |   5.0 -21.9 |
     108  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   35     30 |   5.0 -21.9 |
     109  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   36     30 |   5.0 -21.9 |
     110  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   37     30 |   5.0 -21.9 |
     111  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   38     30 |   5.0 -21.9 |
     112  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   39     30 |   5.0 -21.9 |
     113  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   40     30 |   5.0 -21.9 |
     114  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   41     30 |   5.0 -21.9 |
     115  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   42     30 |   5.0 -21.9 |
     116  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   43     30 |   5.0 -21.9 |
     117  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   44     30 |   5.0 -21.9 |
     118  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   45     30 |   5.0 -21.9 |
     119  617=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0   46     30 |   5.0 -21.9 |
